# initial_x = 1
x,y
1.28946,0.373197
1.54826,1.3875
1.48771,-1.57229
1.28589,0.409387
1.54949,1.3767
1.48631,-1.58108
1.28625,0.405897
1.5507,1.36587
1.4849,-1.58982
1.28661,0.402398
1.55191,1.35499
1.48348,-1.59853
1.28697,0.398891
1.55311,1.34407
1.49764,-1.50722
1.28732,0.395377
1.5543,1.33312
1.49629,-1.51631
1.28767,0.391854
1.55548,1.32213
1.49494,-1.52537
1.28802,0.388323
1.55665,1.31109
1.49358,-1.53438
1.28836,0.384784
1.54419,1.4224
1.49222,-1.54335
1.2887,0.381238
1.54545,1.41174
1.49084,-1.55227
1.28904,0.377683
1.5467,1.40103
1.48946,-1.56116
1.28937,0.374121
1.54794,1.39029
1.48807,-1.57
1.2858,0.410291
1.54917,1.3795
1.48667,-1.5788
1.28616,0.406803
1.55039,1.36868
1.48526,-1.58756
1.28652,0.403306
1.5516,1.35781
1.48385,-1.59627
1.28688,0.399801
1.5528,1.34691
1.49798,-1.50485
1.28723,0.396289
1.55399,1.33596
1.49664,-1.51396
1.28758,0.392768
1.55517,1.32498
1.49529,-1.52302
1.28793,0.389239
1.55635,1.31396
1.49394,-1.53205
1.28827,0.385702
1.55751,1.3029
1.49257,-1.54103
1.28861,0.382158
1.54512,1.41451
1.4912,-1.54996
1.28895,0.378606
1.54638,1.40381
1.48982,-1.55886
1.28928,0.375046
1.54762,1.39308
1.48843,-1.56771
1.28962,0.371478
1.54885,1.3823
1.48703,-1.57652
1.28607,0.407708
1.55007,1.37149
1.48563,-1.58529
1.28643,0.404213
1.55129,1.36063
1.48422,-1.59402
1.28678,0.400711
1.55249,1.34974
1.4828,-1.6027
1.28714,0.3972
1.55368,1.33881
1.49699,-1.5116
1.28749,0.393681
1.55487,1.32783
1.49564,-1.52068
1.28784,0.390155
1.55604,1.31682
1.49429,-1.52971
1.28818,0.38662
1.55721,1.30577
1.49293,-1.5387
1.28852,0.383078
1.5448,1.41727
1.49156,-1.54765
1.28886,0.379527
1.54605,1.40659
1.49018,-1.55656
1.2892,0.375969
1.5473,1.39587
1.48879,-1.56542
1.28953,0.372404
1.54853,1.3851
1.4874,-1.57424
1.28597,0.408612
1.54976,1.3743
1.48599,-1.58302
1.28633,0.40512
1.55097,1.36345
1.48458,-1.59176
1.28669,0.40162
1.55218,1.35257
1.48317,-1.60045
1.28705,0.398111
1.55338,1.34164
1.49734,-1.50924
1.2874,0.394594
1.55456,1.33068
1.49599,-1.51833
1.28775,0.39107
1.55574,1.31968
1.49464,-1.52737
1.28809,0.387537
1.55691,1.30864
1.49328,-1.53637
1.28844,0.383997
1.54447,1.42004
1.49191,-1.54533
1.28877,0.380448
1.54573,1.40936
1.49054,-1.55425
1.28911,0.376893
1.54698,1.39865
1.48915,-1.56313
1.28944,0.373329
1.54821,1.3879
1.48776,-1.57196
1.28588,0.409516
1.54944,1.3771
1.48636,-1.58075
1.28624,0.406026
1.55066,1.36627
1.48495,-1.5895
1.2866,0.402528
1.55187,1.35539
1.48354,-1.5982
1.28695,0.399021
1.55307,1.34448
1.49769,-1.50688
1.28731,0.395507
1.55426,1.33353
1.49634,-1.51598
1.28766,0.391984
1.55544,1.32253
1.49499,-1.52503
1.288,0.388454
1.55661,1.3115
1.49363,-1.53404
1.28835,0.384915
1.54414,1.4228
1.49227,-1.54301
1.28869,0.381369
1.5454,1.41214
1.49089,-1.55194
1.28902,0.377815
1.54665,1.40143
1.48951,-1.56083
1.28936,0.374254
1.54789,1.39069
1.48812,-1.56967
1.28578,0.41042
1.54912,1.3799
1.48672,-1.57848
1.28615,0.406932
1.55034,1.36908
1.48532,-1.58724
1.28651,0.403436
1.55156,1.35822
1.4839,-1.59595
1.28686,0.399931
1.55276,1.34731
1.49803,-1.50452
1.28722,0.396419
1.55395,1.33637
1.49669,-1.51362
1.28757,0.392898
1.55513,1.32539
1.49534,-1.52269
1.28791,0.38937
1.5563,1.31437
1.49399,-1.53171
1.28826,0.385834
1.55747,1.30331
1.49262,-1.54069
1.2886,0.382289
1.54508,1.4149
1.49125,-1.54963
1.28894,0.378737
1.54633,1.40421
1.48987,-1.55853
1.28927,0.375178
1.54757,1.39348
1.48848,-1.56739
1.2896,0.37161
1.54881,1.3827
1.48709,-1.5762
1.28605,0.407837
1.55003,1.37189
1.48568,-1.58497
1.28641,0.404343
1.55124,1.36104
1.48427,-1.5937
1.28677,0.400841
1.55245,1.35014
1.48285,-1.60238
1.28712,0.39733
1.55364,1.33921
1.49704,-1.51127
1.28748,0.393812
1.55482,1.32824
1.49569,-1.52034
1.28782,0.390285
1.556,1.31723
1.49434,-1.52938
1.28817,0.386751
1.55716,1.30618
1.49298,-1.53837
1.28851,0.383209
1.54475,1.41767
1.49161,-1.54732
1.28885,0.379659
1.54601,1.40699
1.49023,-1.55623
1.28919,0.376101
1.54725,1.39626
1.48884,-1.56509
1.28952,0.372536
1.54849,1.3855
1.48745,-1.57392
1.28596,0.408742
1.54971,1.3747
1.48605,-1.5827
1.28632,0.40525
